1_Tps_b3v08 
Chaetoceros curvisetus
Christensenella minuta
Chromobacterium haemolyticum
Chromobacterium phragmitis
Chromobacterium rhizoryzae
Chromobacterium sp.
Clostridia bacterium
Clostridium cellulolyticum
Clostridium cellulosi
Clostridium chauvoei
Clostridium formicaceticum
Clostridium hiranonis
Clostridium intestinale
Clostridium neonatale
Clostridium tetani
Clostridium thermarum
Criblamydia sequanensis
Cryptomonas sp.
Cryptophyta sp.
Cylindrotheca closterium
Cytophagales bacterium
Deinococcus metallilatus
Deltaproteobacteria bacterium
Desulfohalobium retbaense
Dialister hominis
Dialister sp.
Emiliania huxleyi
Entomoplasma luminosum
Entophlyctis sp.
Eubacterium sulci
Exiguobacterium oxidotolerans
Expression vector
Faecalibacterium AF52-21
Fictibacillus arsenicus
Fictibacillus phosphorivorans
Fimbriimonas ginsengisoli
Flavobacteriaceae bacterium
Flavobacterium album
Flavobacterium arcticum
Flavobacterium branchiophilum
Flavobacterium indicum
Flavobacterium sp.
Fragilariopsis kerguelensis
Fragilariopsis kerguelensis,
Gallinipes sp.
Gammaproteobacteria bacterium
Geitlerinema sp.
Gelria sp.
Gemmiger formicilis
Geobacter daltonii
Geobacter lovleyi
Geobacter sp.
Gilvibacter sp.
Gordonia sp.
Isochrysis galbana
Kocuria sp.
Leeuwenhoekiella palythoae
Leeuwenhoekiella sp.
Lentilactobacillus parabuchneri
Leptolyngbya sp.
Leptotrichia buccalis
MAG: Simkaniaceae
Mallomonas sp.
Micrococcus luteus
Miltoncostaea oceani
Muriicola soli
Neogoniolithon spectabile
Nitrosospira multiformis
Nitzschia sp.
Oculatella sp.
Odoribacter splanchnicus
Ottowia sp.
Paenibacillaceae bacterium
Paenibacillus alvei
Paenibacillus antarcticus
Paenibacillus beijingensis
Paenibacillus kribbensis
Paenibacillus lentus
Paenibacillus psychroresistens
Paenibacillus riograndensis
Paeniclostridium sordellii
Palmaria decipiens
Pandoraea fibrosis
Pandoraea sputorum
Pandoraea thiooxydans
Paraclostridium bifermentans
Pavlova sp.
Peptoniphilus ivorii
Peptoniphilus sp.
Peptostreptococcus micros
Petrimonas sp.
Planctomyces sp.
Planctomycetes bacterium
Polycladomyces abyssicola
Porphyra purpurea
Porphyridium purpureum
Porphyromonas cangingivalis
Porphyromonas sp.
Prevotella oulorum
Protochlamydia naegleriophila
Pseudobutyrivibrio sp.
Pseudoclostridium thermosuccinogenes
Pseudothermotoga hypogea
Pukyongia salina
Rhizobium giardinii
Rossellomorea marisflavi
Ruminiclostridium cellulolyticum
